Dimension,PopulationSize,Generations,EngineType,Complexity,Best result,Mean best result,Mean first achieved iter,Mean finished eval at,Mean eval ime
2,50,1000,Islands(2),1,9.995544564245119,9.99,0.0,9.0,144.4
2,50,1000,Islands(2),2,9.9986142646611,9.99,0.0,9.0,134.4
2,50,1000,Islands(2),3,9.995912340061663,9.99,0.0,9.0,119.1
2,50,1000,Islands(2),4,9.996859276420205,9.99,0.0,9.0,138.3
2,50,1000,Islands(2),5,9.995687049156452,9.99,0.0,9.0,127.4
2,50,1000,Islands(8),0,0.0,0.0,0.0,9.0,1227.3
2,50,1000,Islands(8),1,9.996966635597936,9.99,0.0,9.0,1379.3
2,50,1000,Islands(8),2,9.997737972996452,9.99,0.0,9.0,1297.3
2,50,1000,Islands(8),3,9.999107621889976,10.0,0.0,9.0,1193.7
2,50,1000,Islands(8),4,9.997489050581972,9.99,0.0,9.0,1185.8
2,50,1000,Islands(8),5,9.998077670894157,9.99,0.0,9.0,1188.3
2,100,100,SingleThreaded,0,0.0,0.0,0.0,100.0,4.5
2,100,100,SingleThreaded,1,8.735613116082014,8.04,0.0,100.0,8.1
2,100,100,SingleThreaded,2,8.735613116082014,8.04,0.0,100.0,9.0
2,100,100,SingleThreaded,3,8.735613116082014,8.04,0.0,100.0,10.1
2,100,100,SingleThreaded,4,8.735613116082014,8.04,0.0,100.0,12.0
2,100,100,SingleThreaded,5,8.735613116082014,8.04,0.0,100.0,13.1
2,100,100,MasterSlave,0,0.0,0.0,0.0,100.0,8.8
2,100,100,MasterSlave,1,8.735613116082014,8.04,0.0,100.0,17.2
2,100,100,MasterSlave,2,8.735613116082014,8.04,0.0,100.0,13.9
2,100,100,MasterSlave,3,8.735613116082014,8.04,0.0,100.0,14.1
2,100,100,MasterSlave,4,8.735613116082014,8.04,0.0,100.0,14.2
2,100,100,MasterSlave,5,8.735613116082014,8.04,0.0,100.0,15.0
2,100,100,Islands(2),0,0.0,0.0,0.0,0.0,26.6
2,100,100,Islands(2),1,9.998039031825337,9.99,0.0,0.0,25.3
2,100,100,Islands(2),2,9.998831615518888,9.99,0.0,0.0,23.8
2,100,100,Islands(2),3,9.995322900836374,9.99,0.0,0.0,21.8
2,100,100,Islands(2),4,9.999846237392314,9.99,0.0,0.0,26.0
2,100,100,Islands(2),5,9.998160103208543,9.99,0.0,0.0,23.4
2,100,100,Islands(8),0,0.0,0.0,0.0,0.0,238.3
2,100,100,Islands(8),1,9.999364597541076,10.0,0.0,0.0,250.0
2,100,100,Islands(8),2,9.999358452850144,10.0,0.0,0.0,184.2
2,100,100,Islands(8),3,9.998895229095618,10.0,0.0,0.0,232.9
2,100,100,Islands(8),4,9.999079578286764,9.99,0.0,0.0,244.5
2,100,100,Islands(8),5,9.999767523052842,10.0,0.0,0.0,255.4
2,100,200,SingleThreaded,0,0.0,0.0,0.0,200.0,11.0
2,100,200,SingleThreaded,1,8.735613116082014,8.04,0.0,200.0,16.4
2,100,200,SingleThreaded,2,8.735613116082014,8.04,0.0,200.0,19.9
2,100,200,SingleThreaded,3,8.735613116082014,8.04,0.0,200.0,23.2
2,100,200,SingleThreaded,4,8.735613116082014,8.04,0.0,200.0,26.2
2,100,200,SingleThreaded,5,8.735613116082014,8.04,0.0,200.0,29.3
2,100,200,MasterSlave,0,0.0,0.0,0.0,200.0,19.2
2,100,200,MasterSlave,1,8.735613116082014,8.04,0.0,200.0,28.5
2,100,200,MasterSlave,2,8.735613116082014,8.04,0.0,200.0,30.2
2,100,200,MasterSlave,3,8.735613116082014,8.04,0.0,200.0,31.0
2,100,200,MasterSlave,4,8.735613116082014,8.04,0.0,200.0,31.8
2,100,200,MasterSlave,5,8.735613116082014,8.04,0.0,200.0,32.3
2,100,200,Islands(2),0,0.0,0.0,0.0,1.0,60.2
2,100,200,Islands(2),1,9.9994716542661,9.99,0.0,1.0,57.5
2,100,200,Islands(2),2,9.995857866704258,9.99,0.0,1.0,48.1
2,100,200,Islands(2),3,9.997159353298455,9.99,0.0,1.0,45.2
2,100,200,Islands(2),4,9.99563153157584,9.99,0.0,1.0,55.0
2,100,200,Islands(2),5,9.996863765887241,9.99,0.0,1.0,49.0
2,100,200,Islands(8),0,0.0,0.0,0.0,1.0,465.0
2,100,200,Islands(8),1,9.999297015065988,10.0,0.0,1.0,493.8
2,100,200,Islands(8),2,9.999146338973812,10.0,0.0,1.0,468.9
2,100,200,Islands(8),3,9.999415322146719,10.0,0.0,1.0,489.7
2,100,200,Islands(8),4,9.99866636391955,10.0,0.0,1.0,481.7
2,100,200,Islands(8),5,9.999683441248909,10.0,0.0,1.0,484.8
2,100,500,SingleThreaded,0,0.0,0.0,0.0,500.0,24.8
2,100,500,SingleThreaded,1,8.735613116082014,8.04,0.0,500.0,39.2
2,100,500,SingleThreaded,2,8.735613116082014,8.04,0.0,500.0,45.0
2,100,500,SingleThreaded,3,8.735613116082014,8.04,0.0,500.0,50.4
2,100,500,SingleThreaded,4,8.735613116082014,8.04,0.0,500.0,56.8
2,100,500,SingleThreaded,5,8.735613116082014,8.04,0.0,500.0,62.5
2,100,500,MasterSlave,0,0.0,0.0,0.0,500.0,40.5
2,100,500,MasterSlave,1,8.735613116082014,8.04,0.0,500.0,58.5
2,100,500,MasterSlave,2,8.735613116082014,8.04,0.0,500.0,61.9
2,100,500,MasterSlave,3,8.735613116082014,8.04,0.0,500.0,63.8
2,100,500,MasterSlave,4,8.735613116082014,8.04,0.0,500.0,65.0
2,100,500,MasterSlave,5,8.735613116082014,8.04,0.0,500.0,66.5
2,100,500,Islands(2),0,0.0,0.0,0.0,4.0,117.0
2,100,500,Islands(2),1,9.999234778813271,9.99,0.0,4.0,114.7
2,100,500,Islands(2),2,9.998814511387483,9.99,0.0,4.0,102.3
2,100,500,Islands(2),3,9.995085291188486,9.99,0.0,4.0,107.5
2,100,500,Islands(2),4,9.998244701873105,9.99,0.0,4.0,106.2
2,100,500,Islands(2),5,9.999223385833588,9.99,0.0,4.0,113.4
2,100,500,Islands(8),0,0.0,0.0,0.0,4.0,1114.9
2,100,500,Islands(8),1,9.99846741046461,10.0,0.0,4.0,1237.1
2,100,500,Islands(8),2,9.999268685311712,10.0,0.0,4.0,1186.9
2,100,500,Islands(8),3,9.999311978960714,10.0,0.0,4.0,1220.5
2,100,500,Islands(8),4,9.999736228387118,10.0,0.0,4.0,1148.5
2,100,500,Islands(8),5,9.998921359838443,10.0,0.0,4.0,1221.0
2,100,1000,SingleThreaded,0,0.0,0.0,0.0,1000.0,50.3
